2023-11-16 17:21:09 - Creating converter from 3 to 5
2023-11-16 17:21:09 - (UNIFORM, scott, 10000, 1) - Time: 0.00179 s - Est.: 0.259 nats
2023-11-16 17:21:10 - (UNIFORM, scott, 10000, 2) - Time: 0.00172 s - Est.: 0.266 nats
2023-11-16 17:21:10 - (UNIFORM, scott, 10000, 3) - Time: 0.00173 s - Est.: 0.262 nats
2023-11-16 17:21:10 - (UNIFORM, scott, 10000, 4) - Time: 0.00142 s - Est.: 0.275 nats
2023-11-16 17:21:10 - (UNIFORM, scott, 10000, 5) - Time: 0.00152 s - Est.: 0.263 nats
2023-11-16 17:21:10 - (UNIFORM, scott, 10000, 6) - Time: 0.00144 s - Est.: 0.273 nats
2023-11-16 17:21:10 - (UNIFORM, scott, 10000, 7) - Time: 0.00148 s - Est.: 0.278 nats
2023-11-16 17:21:11 - (UNIFORM, scott, 10000, 8) - Time: 0.00147 s - Est.: 0.270 nats
2023-11-16 17:21:11 - (UNIFORM, scott, 10000, 9) - Time: 0.00149 s - Est.: 0.272 nats
2023-11-16 17:21:11 - (UNIFORM, scott, 10000, 10) - Time: 0.00145 s - Est.: 0.267 nats
2023-11-16 17:21:11 - (UNIFORM, scott, 10000, 11) - Time: 0.00147 s - Est.: 0.266 nats
2023-11-16 17:21:11 - (UNIFORM, scott, 10000, 12) - Time: 0.00145 s - Est.: 0.275 nats
2023-11-16 17:21:11 - (UNIFORM, scott, 10000, 13) - Time: 0.00146 s - Est.: 0.267 nats
2023-11-16 17:21:11 - (UNIFORM, scott, 10000, 14) - Time: 0.00144 s - Est.: 0.266 nats
2023-11-16 17:21:12 - (UNIFORM, scott, 10000, 15) - Time: 0.00143 s - Est.: 0.268 nats
2023-11-16 17:21:12 - (UNIFORM, scott, 10000, 16) - Time: 0.00147 s - Est.: 0.263 nats
2023-11-16 17:21:12 - (UNIFORM, scott, 10000, 17) - Time: 0.00145 s - Est.: 0.273 nats
2023-11-16 17:21:12 - (UNIFORM, scott, 10000, 18) - Time: 0.00147 s - Est.: 0.273 nats
2023-11-16 17:21:12 - (UNIFORM, scott, 10000, 19) - Time: 0.00147 s - Est.: 0.271 nats
2023-11-16 17:21:12 - (UNIFORM, scott, 10000, 20) - Time: 0.00142 s - Est.: 0.263 nats
2023-11-16 17:21:12 - (UNIFORM, scott, 10000, 21) - Time: 0.00148 s - Est.: 0.259 nats
2023-11-16 17:21:13 - (UNIFORM, scott, 10000, 22) - Time: 0.00144 s - Est.: 0.276 nats
2023-11-16 17:21:13 - (UNIFORM, scott, 10000, 23) - Time: 0.00145 s - Est.: 0.263 nats
2023-11-16 17:21:13 - (UNIFORM, scott, 10000, 24) - Time: 0.00147 s - Est.: 0.260 nats
2023-11-16 17:21:13 - (UNIFORM, scott, 10000, 25) - Time: 0.00147 s - Est.: 0.273 nats
2023-11-16 17:21:13 - (UNIFORM, scott, 10000, 26) - Time: 0.00142 s - Est.: 0.274 nats
2023-11-16 17:21:13 - (UNIFORM, scott, 10000, 27) - Time: 0.00143 s - Est.: 0.274 nats
2023-11-16 17:21:13 - (UNIFORM, scott, 10000, 28) - Time: 0.00143 s - Est.: 0.268 nats
2023-11-16 17:21:14 - (UNIFORM, scott, 10000, 29) - Time: 0.00145 s - Est.: 0.268 nats
2023-11-16 17:21:14 - (UNIFORM, scott, 10000, 30) - Time: 0.00144 s - Est.: 0.267 nats
2023-11-16 17:21:14 - (UNIFORM, scott, 10000, 31) - Time: 0.00148 s - Est.: 0.254 nats
2023-11-16 17:21:14 - (UNIFORM, scott, 10000, 32) - Time: 0.00150 s - Est.: 0.262 nats
2023-11-16 17:21:14 - (UNIFORM, scott, 10000, 33) - Time: 0.00146 s - Est.: 0.268 nats
2023-11-16 17:21:14 - (UNIFORM, scott, 10000, 34) - Time: 0.00144 s - Est.: 0.274 nats
2023-11-16 17:21:14 - (UNIFORM, scott, 10000, 35) - Time: 0.00147 s - Est.: 0.257 nats
2023-11-16 17:21:15 - (UNIFORM, scott, 10000, 36) - Time: 0.00150 s - Est.: 0.272 nats
2023-11-16 17:21:15 - (UNIFORM, scott, 10000, 37) - Time: 0.00146 s - Est.: 0.272 nats
2023-11-16 17:21:15 - (UNIFORM, scott, 10000, 38) - Time: 0.00145 s - Est.: 0.266 nats
2023-11-16 17:21:15 - (UNIFORM, scott, 10000, 39) - Time: 0.00143 s - Est.: 0.262 nats
2023-11-16 17:21:15 - (UNIFORM, scott, 10000, 40) - Time: 0.00143 s - Est.: 0.269 nats
2023-11-16 17:21:15 - (UNIFORM, scott, 10000, 41) - Time: 0.00145 s - Est.: 0.267 nats
2023-11-16 17:21:15 - (UNIFORM, scott, 10000, 42) - Time: 0.00142 s - Est.: 0.262 nats
2023-11-16 17:21:16 - (UNIFORM, scott, 10000, 43) - Time: 0.00147 s - Est.: 0.261 nats
2023-11-16 17:21:16 - (UNIFORM, scott, 10000, 44) - Time: 0.00148 s - Est.: 0.261 nats
2023-11-16 17:21:16 - (UNIFORM, scott, 10000, 45) - Time: 0.00146 s - Est.: 0.277 nats
2023-11-16 17:21:16 - (UNIFORM, scott, 10000, 46) - Time: 0.00146 s - Est.: 0.269 nats
2023-11-16 17:21:16 - (UNIFORM, scott, 10000, 47) - Time: 0.00142 s - Est.: 0.265 nats
2023-11-16 17:21:16 - (UNIFORM, scott, 10000, 48) - Time: 0.00145 s - Est.: 0.264 nats
2023-11-16 17:21:16 - (UNIFORM, scott, 10000, 49) - Time: 0.00146 s - Est.: 0.257 nats
2023-11-16 17:21:17 - (UNIFORM, scott, 10000, 50) - Time: 0.00143 s - Est.: 0.261 nats
2023-11-16 17:21:17 - (UNIFORM, scott, 10000, 51) - Time: 0.00144 s - Est.: 0.266 nats
